route_name,stop_order,location,lat,lng,photo_url,is_decoy
Pacific Coast Highway,1,"Seattle, WA",,,https://images.unsplash.com/photo-1535581652167-3a26c90bbf86?q=80&w=1770&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,FALSE
Pacific Coast Highway,2,"Cannon Beach, OR",,,https://images.unsplash.com/photo-1623033201109-ffe5ff6dc9fe?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y2Fubm9uJTIwYmVhY2glMjBvcmVnb258ZW58MHwwfDB8fHwy,FALSE
Pacific Coast Highway,3,"Redwood National and State Parks, CA",,,https://images.unsplash.com/photo-1596591624582-00488d03a623?q=80&w=1548&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,FALSE
Pacific Coast Highway,4,"San Francisco, CA",,,https://images.unsplash.com/photo-1501594907352-04cda38ebc29?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8c2FuJTIwZnJhbmNpc2NvfGVufDB8MHwwfHx8Mg%3D%3D,FALSE
Pacific Coast Highway,5,"Big Sur, CA",,,https://images.unsplash.com/photo-1581790061118-2cd9a40164b0?q=80&w=1742&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,FALSE
Pacific Coast Highway,6,"Los Angeles, CA",,,https://images.unsplash.com/photo-1460881680858-30d872d5b530?q=80&w=1742&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,FALSE
Pacific Coast Highway,0,"CN Tower, Toronto",,,https://images.unsplash.com/photo-1559344404-d3d24a7480e4?q=80&w=2064&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,TRUE
Pacific Coast Highway,0,"Mount McKinley, AK",,,https://images.unsplash.com/photo-1626175757167-d263c6927da3?q=80&w=1738&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,TRUE
Pacific Coast Highway,0,Joshua Tree National Park,,,https://images.unsplash.com/photo-1576191919769-40424bb34367?q=80&w=1738&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,TRUE
Seven-ish Wonders of the World,1,"Chichen Itza, Mexico",,,https://images.unsplash.com/photo-1561577101-aa749bffbb70?q=80&w=2940&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,FALSE
Seven-ish Wonders of the World,2,"Machu Picchu, Peru",,,https://images.unsplash.com/photo-1526392060635-9d6019884377?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4ODQ4OTB8MHwxfHNlYXJjaHwxfHxNYWNodSUyMFBpY2NodSUyQyUyMFBlcnV8ZW58MXwwfHx8MTc3MjM5MjMyNnww&ixlib=rb-4.1.0&q=80&w=1080,FALSE
Seven-ish Wonders of the World,3,"Christ the Redeemer, Rio de Janeiro, Brazil",,,https://images.unsplash.com/photo-1683331404237-64c763c70f5b?q=80&w=927&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,FALSE
Seven-ish Wonders of the World,4,"Colosseum, Rome, Italy",,,https://images.unsplash.com/photo-1552832230-c0197dd311b5?q=80&w=1592&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,FALSE
